City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ushuaia,-54.8,-68.3,8.81,53,20,5.66,AR,1635380943
rikitea,-23.1203,-134.9692,23.64,74,34,1.51,PF,1635380891
yaan,7.3833,8.5667,23.73,89,97,2.65,NG,1635380944
port alfred,-33.5906,26.891,19.38,83,100,11.68,ZA,1635380944
batagay-alyta,67.8006,130.4114,-15.98,93,100,0.2,RU,1635380945
lebu,-37.6167,-73.65,11.69,88,26,5.88,CL,1635380753
raudeberg,61.9875,5.1352,12.33,91,92,4.47,NO,1635380945
new norfolk,-42.7826,147.0587,20.5,43,59,1.34,AU,1635380946
saint george,37.1041,-113.5841,20.35,33,1,0.45,US,1635380823
avarua,-21.2078,-159.775,24.03,69,75,4.63,CK,1635380907
castro,-24.7911,-50.0119,16.57,91,98,4.88,BR,1635380893
coquimbo,-29.9533,-71.3436,12.85,87,0,3.6,CL,1635380918
mahebourg,-20.4081,57.7,21.81,88,20,2.06,MU,1635380947
taltal,-25.4,-70.4833,17.62,70,23,1.57,CL,1635380947
kismayo,-0.3582,42.5454,25.62,82,5,5.38,SO,1635380948
fuling,29.7022,107.3919,15.77,86,97,0.12,CN,1635380948
pandharpur,17.6667,75.3333,20.71,61,75,3.37,IN,1635380949
pierre,44.3683,-100.351,11.59,76,1,3.13,US,1635380949
velingrad,42.0272,23.9957,1.48,77,0,1.18,BG,1635380949
carnarvon,-24.8667,113.6333,20.04,40,83,6.69,AU,1635380950
mataura,-46.1927,168.8643,21.14,47,7,1.82,NZ,1635380950
leningradskiy,69.3833,178.4167,-11.86,92,100,9.1,RU,1635380951
cherskiy,68.75,161.3,-24.58,94,9,2.35,RU,1635380951
sangmelima,2.9333,11.9833,19.05,99,100,0.94,CM,1635380951
hobart,-42.8794,147.3294,20.7,65,40,0.45,AU,1635380825
cape town,-33.9258,18.4232,17.27,86,40,0.45,ZA,1635380900
nguruka,-5.1092,31.0419,21.94,63,93,1.5,TZ,1635380952
ilulissat,69.2167,-51.1,-9.99,57,100,2.57,GL,1635380953
dikson,73.5069,80.5464,-15.17,97,50,2.32,RU,1635380725
lucapa,-8.4192,20.7447,18.54,95,95,1.48,AO,1635380953
padang,-0.9492,100.3543,23.03,75,93,1.7,ID,1635380954
beringovskiy,63.05,179.3167,-12.42,78,48,6.16,RU,1635380954
hilo,19.7297,-155.09,27.85,67,1,4.63,US,1635380955
sovetskiy,61.3614,63.5842,-1.37,97,100,3.45,RU,1635380955
maragogi,-9.0122,-35.2225,25.06,80,56,4.34,BR,1635380871
porbandar,21.6422,69.6093,26.2,52,5,3.69,IN,1635380956
ruwi,23.5996,58.5507,27.83,59,80,5.08,OM,1635380956
tiarei,-17.5333,-149.3333,28.01,76,10,4.49,PF,1635380957
thompson,55.7435,-97.8558,5.09,100,90,1.03,CA,1635380908
karratha,-20.7377,116.8463,26.17,27,4,4.48,AU,1635380957
jieshi,22.8134,115.8257,24.41,80,61,7.54,CN,1635380675
kaitangata,-46.2817,169.8464,16.81,68,12,3.54,NZ,1635380958
east london,-33.0153,27.9116,19.5,83,100,11.16,ZA,1635380705
